[1046444.846843] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1046445.736402] tee (16751): drop_caches: 3
[1046445.997709] Running randread depth 16 jobs 1 size 4K zc 0 remote zc 0 zcrc 0
[1046505.257119] cpu_profile: calibration  average is 26 clock cycles, min is 24, max is 28 
[1046525.309268] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1046525.322135] nvme_tcp: copy    0                0        845298364                0                0                0
[1046525.334215] nvme_tcp: copy    1                0                0                0                0                0
[1046525.346298] nvme_tcp: copy    2                0                0                0                0                0
[1046525.358379] nvme_tcp: copy    3                0                0                0                0                0
[1046525.370458] nvme_tcp: copy    4                0                0                0                0                0
[1046525.382540] nvme_tcp: copy    5                0                0                0                0                0
[1046525.394619] nvme_tcp: copy    6                0                0                0                0                0
[1046525.406700] nvme_tcp: copy    7                0                0                0                0                0
[1046525.418772] nvme_tcp: copy    8                0                0                0                0                0
[1046525.430852] nvme_tcp: copy    9                0                0                0                0                0
[1046525.442957] nvme_tcp: copy   10                0                0                0                0                0
[1046525.455041] nvme_tcp: copy   11                0                0                0                0                0
[1046525.467125] nvme_tcp: copy   12                0                0                0                0                0
[1046525.479208] nvme_tcp: copy   13                0                0                0                0                0
[1046525.491291] nvme_tcp: copy   14                0                0                0                0                0
[1046525.503375] nvme_tcp: copy   15                0                0                0                0                0
[1046525.515460] nvme_tcp: copy   16                0                0                0                0                0
[1046525.527545] nvme_tcp: copy   17                0                0                0                0                0
[1046525.539628] nvme_tcp: copy   18                0                0                0                0                0
[1046525.551790] nvme_tcp: copy   19                0                0                0                0                0
[1046525.563874] nvme_tcp: copy   20                0                0                0                0                0
[1046525.575957] nvme_tcp: copy   21                0                0                0                0                0
[1046525.588040] nvme_tcp: copy   22                0                0                0                0                0
[1046525.600123] nvme_tcp: copy   23                0                0                0                0                0
[1046525.612206] nvme_tcp: copy   24                0                0                0                0                0
[1046525.624290] nvme_tcp: copy   25                0                0                0                0                0
[1046525.636372] nvme_tcp: copy   26                0                0                0                0                0
[1046525.648456] nvme_tcp: copy   27                0                0                0                0                0
[1046525.660538] nvme_tcp: crc    0                0       1346900630                0                0                0
[1046525.672525] nvme_tcp: crc    1                0                0                0                0                0
[1046525.684510] nvme_tcp: crc    2                0                0                0                0                0
[1046525.696497] nvme_tcp: crc    3                0                0                0                0                0
[1046525.708481] nvme_tcp: crc    4                0                0                0                0                0
[1046525.720468] nvme_tcp: crc    5                0                0                0                0                0
[1046525.732454] nvme_tcp: crc    6                0                0                0                0                0
[1046525.744440] nvme_tcp: crc    7                0                0                0                0                0
[1046525.756426] nvme_tcp: crc    8                0                0                0                0                0
[1046525.768411] nvme_tcp: crc    9                0                0                0                0                0
[1046525.780396] nvme_tcp: crc   10                0                0                0                0                0
[1046525.792382] nvme_tcp: crc   11                0                0                0                0                0
[1046525.804368] nvme_tcp: crc   12                0                0                0                0                0
[1046525.816355] nvme_tcp: crc   13                0                0                0                0                0
[1046525.828340] nvme_tcp: crc   14                0                0                0                0                0
[1046525.840326] nvme_tcp: crc   15                0                0                0                0                0
[1046525.852311] nvme_tcp: crc   16                0                0                0                0                0
[1046525.864298] nvme_tcp: crc   17                0                0                0                0                0
[1046525.876284] nvme_tcp: crc   18                0                0                0                0                0
[1046525.888269] nvme_tcp: crc   19                0                0                0                0                0
[1046525.900256] nvme_tcp: crc   20                0                0                0                0                0
[1046525.912243] nvme_tcp: crc   21                0                0                0                0                0
[1046525.924232] nvme_tcp: crc   22                0                0                0                0                0
[1046525.936219] nvme_tcp: crc   23                0                0                0                0                0
[1046525.948203] nvme_tcp: crc   24                0                0                0                0                0
[1046525.960189] nvme_tcp: crc   25                0                0                0                0                0
[1046525.972174] nvme_tcp: crc   26                0                0                0                0                0
[1046525.984161] nvme_tcp: crc   27                0                0                0                0                0
[1046525.996146] nvme_tcp: tx_crc    0                0                0                0                0                0
[1046526.008422] nvme_tcp: tx_crc    1                0                0                0                0                0
[1046526.020695] nvme_tcp: tx_crc    2                0                0                0                0                0
[1046526.032973] nvme_tcp: tx_crc    3                0                0                0                0                0
[1046526.045253] nvme_tcp: tx_crc    4                0                0                0                0                0
[1046526.057532] nvme_tcp: tx_crc    5                0                0                0                0                0
[1046526.079971] nvme_tcp: tx_crc    6                0                0                0                0                0
[1046526.092251] nvme_tcp: tx_crc    7                0                0                0                0                0
[1046526.104526] nvme_tcp: tx_crc    8                0                0                0                0                0
[1046526.116806] nvme_tcp: tx_crc    9                0                0                0                0                0
[1046526.129084] nvme_tcp: tx_crc   10                0                0                0                0                0
[1046526.141363] nvme_tcp: tx_crc   11                0                0                0                0                0
[1046526.153638] nvme_tcp: tx_crc   12                0                0                0                0                0
[1046526.165916] nvme_tcp: tx_crc   13                0                0                0                0                0
[1046526.178211] nvme_tcp: tx_crc   14                0                0                0                0                0
[1046526.190491] nvme_tcp: tx_crc   15                0                0                0                0                0
[1046526.202769] nvme_tcp: tx_crc   16                0                0                0                0                0
[1046526.215048] nvme_tcp: tx_crc   17                0                0                0                0                0
[1046526.227324] nvme_tcp: tx_crc   18                0                0                0                0                0
[1046526.239601] nvme_tcp: tx_crc   19                0                0                0                0                0
[1046526.251877] nvme_tcp: tx_crc   20                0                0                0                0                0
[1046526.264157] nvme_tcp: tx_crc   21                0                0                0                0                0
[1046526.276435] nvme_tcp: tx_crc   22                0                0                0                0                0
[1046526.288715] nvme_tcp: tx_crc   23                0                0                0                0                0
[1046526.300990] nvme_tcp: tx_crc   24                0                0                0                0                0
[1046526.313267] nvme_tcp: tx_crc   25                0                0                0                0                0
[1046526.325542] nvme_tcp: tx_crc   26                0                0                0                0                0
[1046526.337821] nvme_tcp: tx_crc   27                0                0                0                0                0
[1046526.350097] nvme_tcp: tracing_off done
[1046526.350097] nvme_tcp: tracing_off done
[1046561.190559] tee (18654): drop_caches: 3
[1046561.355990] Running randread depth 16 jobs 1 size 4K zc 0 remote zc 0 zcrc 0
[1046620.502302] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1046640.554652] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1046640.567541] nvme_tcp: copy    0                0        867116255                0                0                0
[1046640.579630] nvme_tcp: copy    1                0                0                0                0                0
[1046640.591714] nvme_tcp: copy    2                0                0                0                0                0
[1046640.603798] nvme_tcp: copy    3                0                0                0                0                0
[1046640.615881] nvme_tcp: copy    4                0                0                0                0                0
[1046640.627966] nvme_tcp: copy    5                0                0                0                0                0
[1046640.640051] nvme_tcp: copy    6                0                0                0                0                0
[1046640.652136] nvme_tcp: copy    7                0                0                0                0                0
[1046640.664219] nvme_tcp: copy    8                0                0                0                0                0
[1046640.676302] nvme_tcp: copy    9                0                0                0                0                0
[1046640.688386] nvme_tcp: copy   10                0                0                0                0                0
[1046640.700471] nvme_tcp: copy   11                0                0                0                0                0
[1046640.712553] nvme_tcp: copy   12                0                0                0                0                0
[1046640.724637] nvme_tcp: copy   13                0                0                0                0                0
[1046640.736720] nvme_tcp: copy   14                0                0                0                0                0
[1046640.748803] nvme_tcp: copy   15                0                0                0                0                0
[1046640.760887] nvme_tcp: copy   16                0                0                0                0                0
[1046640.772975] nvme_tcp: copy   17                0                0                0                0                0
[1046640.785059] nvme_tcp: copy   18                0                0                0                0                0
[1046640.797142] nvme_tcp: copy   19                0                0                0                0                0
[1046640.809224] nvme_tcp: copy   20                0                0                0                0                0
[1046640.821309] nvme_tcp: copy   21                0                0                0                0                0
[1046640.833392] nvme_tcp: copy   22                0                0                0                0                0
[1046640.845475] nvme_tcp: copy   23                0                0                0                0                0
[1046640.857557] nvme_tcp: copy   24                0                0                0                0                0
[1046640.869641] nvme_tcp: copy   25                0                0                0                0                0
[1046640.881734] nvme_tcp: copy   26                0                0                0                0                0
[1046640.893817] nvme_tcp: copy   27                0                0                0                0                0
[1046640.905901] nvme_tcp: crc    0                0       1372379658                0                0                0
[1046640.917886] nvme_tcp: crc    1                0                0                0                0                0
[1046640.929872] nvme_tcp: crc    2                0                0                0                0                0
[1046640.941859] nvme_tcp: crc    3                0                0                0                0                0
[1046640.953843] nvme_tcp: crc    4                0                0                0                0                0
[1046640.965830] nvme_tcp: crc    5                0                0                0                0                0
[1046640.977816] nvme_tcp: crc    6                0                0                0                0                0
[1046640.989801] nvme_tcp: crc    7                0                0                0                0                0
[1046641.001788] nvme_tcp: crc    8                0                0                0                0                0
[1046641.013773] nvme_tcp: crc    9                0                0                0                0                0
[1046641.025759] nvme_tcp: crc   10                0                0                0                0                0
[1046641.037745] nvme_tcp: crc   11                0                0                0                0                0
[1046641.049730] nvme_tcp: crc   12                0                0                0                0                0
[1046641.061716] nvme_tcp: crc   13                0                0                0                0                0
[1046641.073702] nvme_tcp: crc   14                0                0                0                0                0
