# started on Mon Jun 22 03:22:47 2020

40324.75,msec,task-clock,40324754627,100.00,0.786,CPUs utilized
80649400471,,cycles,40324750043,100.00,2.000,GHz
144272966116,,instructions,40324747135,100.00,1.79,insn per cycle
381652,,cache-misses,40324745783,100.00,,
# started on Mon Jun 22 03:24:03 2020

40348.54,msec,task-clock,40348536152,100.00,0.786,CPUs utilized
80696963828,,cycles,40348530426,100.00,2.000,GHz
144253008678,,instructions,40348528486,100.00,1.79,insn per cycle
371961,,cache-misses,40348527296,100.00,,
# started on Mon Jun 22 03:25:19 2020

40350.73,msec,task-clock,40350729121,100.00,0.786,CPUs utilized
80701350097,,cycles,40350724407,100.00,2.000,GHz
144139326435,,instructions,40350721777,100.00,1.79,insn per cycle
443976,,cache-misses,40350720557,100.00,,
# started on Mon Jun 22 03:26:35 2020

40310.28,msec,task-clock,40310279439,100.00,0.786,CPUs utilized
80620452628,,cycles,40310275767,100.00,2.000,GHz
144484794287,,instructions,40310272971,100.00,1.79,insn per cycle
451023,,cache-misses,40310271691,100.00,,
# started on Mon Jun 22 03:27:51 2020

40310.67,msec,task-clock,40310667980,100.00,0.786,CPUs utilized
80621227654,,cycles,40310663126,100.00,2.000,GHz
143745259303,,instructions,40310660662,100.00,1.78,insn per cycle
487935,,cache-misses,40310659782,100.00,,
# started on Mon Jun 22 03:29:08 2020

40350.29,msec,task-clock,40350294260,100.00,0.786,CPUs utilized
80700480866,,cycles,40350289614,100.00,2.000,GHz
143644040880,,instructions,40350287182,100.00,1.78,insn per cycle
440606,,cache-misses,40350285940,100.00,,
# started on Mon Jun 22 03:30:24 2020

40352.47,msec,task-clock,40352466926,100.00,0.786,CPUs utilized
80704827141,,cycles,40352462202,100.00,2.000,GHz
143083954851,,instructions,40352460136,100.00,1.77,insn per cycle
451485,,cache-misses,40352459006,100.00,,
# started on Mon Jun 22 03:31:40 2020

40353.60,msec,task-clock,40353595584,100.00,0.786,CPUs utilized
80707088406,,cycles,40353592012,100.00,2.000,GHz
144201402767,,instructions,40353590652,100.00,1.79,insn per cycle
414647,,cache-misses,40353589624,100.00,,
# started on Mon Jun 22 03:32:56 2020

40354.76,msec,task-clock,40354758007,100.00,0.786,CPUs utilized
80709410627,,cycles,40354754279,100.00,2.000,GHz
144073548621,,instructions,40354751279,100.00,1.79,insn per cycle
361164,,cache-misses,40354750047,100.00,,
# started on Mon Jun 22 03:34:12 2020

40350.93,msec,task-clock,40350928591,100.00,0.786,CPUs utilized
80701751253,,cycles,40350924465,100.00,2.000,GHz
144376023984,,instructions,40350921651,100.00,1.79,insn per cycle
356524,,cache-misses,40350920659,100.00,,
