# started on Sun Jun  7 21:58:18 2020

46353288159,,cycles,31044368544,100.00,,
48334318261,,instructions,31044339337,100.00,1.04,insn per cycle
977697,,cache-misses,31044337954,100.00,,
# started on Sun Jun  7 21:59:53 2020

45029939225,,cycles,31054150615,100.00,,
47170337943,,instructions,31054147577,100.00,1.05,insn per cycle
1037812,,cache-misses,31054146899,100.00,,
# started on Sun Jun  7 22:01:28 2020

45427879394,,cycles,31073747428,100.00,,
47534739761,,instructions,31073743613,100.00,1.05,insn per cycle
1026649,,cache-misses,31073742594,100.00,,
# started on Sun Jun  7 22:03:04 2020

46562909518,,cycles,31066429976,100.00,,
48569792921,,instructions,31066427154,100.00,1.04,insn per cycle
1002242,,cache-misses,31066426647,100.00,,
# started on Sun Jun  7 22:04:39 2020

44933404506,,cycles,30959651648,100.00,,
47132640346,,instructions,30959646615,100.00,1.05,insn per cycle
988212,,cache-misses,30959644993,100.00,,
# started on Sun Jun  7 22:06:14 2020

45133100419,,cycles,31084728835,100.00,,
47330773778,,instructions,31084725379,100.00,1.05,insn per cycle
1049213,,cache-misses,31084724459,100.00,,
# started on Sun Jun  7 22:07:49 2020

44296637145,,cycles,31016920377,100.00,,
46425580162,,instructions,31016917487,100.00,1.05,insn per cycle
963744,,cache-misses,31016917057,100.00,,
# started on Sun Jun  7 22:09:24 2020

45864855436,,cycles,31056085786,100.00,,
47843880029,,instructions,31056081956,100.00,1.04,insn per cycle
1043928,,cache-misses,31056078339,100.00,,
# started on Sun Jun  7 22:10:58 2020

45242206753,,cycles,30967636388,100.00,,
47399959338,,instructions,30967633547,100.00,1.05,insn per cycle
1029427,,cache-misses,30967632930,100.00,,
# started on Sun Jun  7 22:12:34 2020

45486797071,,cycles,31139237757,100.00,,
47471496262,,instructions,31139221151,100.00,1.04,insn per cycle
981406,,cache-misses,31139200172,100.00,,
