test,bandwidth,cpu,wrk_bw,wrk_tps,wrk_tps_std,wrk_lat_avg,wrk_lat_avg_std,enp4s0f1_tx_bytes,enp4s0f1_tx_bytes_std,enp4s0f1_rx_bytes,enp4s0f1_rx_bytes_std,cpu_1,cpu_3,cpu_5,cpu_7,cpu_9,cpu_11,cpu_13,cpu_15,cpu_17
nginx-0-8-128-65536-0,32.00,27.38,28.688,58579.12,159.19659565,2570.0,28.2842712475,4040240386.00,29876268.97,18183190.00,129482.42,95.67,93.67,96.67,96.33,93.33,90.67,91.33,91.67,0.00,
nginx-0-8-128-65536-1,41.33,27.23,37.168,75989.6066667,94.7382085304,2060.0,0.0,5240396632.33,35445437.15,23196585.33,139225.83,95.67,93.67,96.33,96.00,94.00,89.00,90.00,90.33,0.00,
nginx-0-8-128-4096-3,6.00,27.96,5.38752,162844.07,1017.95960519,900.0,8.16496580928,760740398.67,3702038.81,35523085.33,174965.58,96.00,98.00,98.00,99.00,97.00,93.00,93.00,92.67,0.00,
nginx-0-8-128-4096-2,4.00,27.23,3.907904,118391.32,276.16741746,1343.33333333,12.4721912892,557233927.00,396642.88,30236155.67,20485.53,96.00,94.00,96.00,95.67,94.00,90.00,90.00,90.00,0.00,
nginx-0-8-128-4096-1,4.00,27.24,3.844352,116190.48,252.196056406,1360.0,0.0,547468171.67,797625.80,29703449.67,43623.01,96.00,94.00,95.67,96.00,94.00,90.00,90.33,90.00,0.00,
nginx-0-8-128-4096-0,4.00,27.62,3.550512,107330.073333,136.211596259,1473.33333333,4.71404520791,505686955.00,1535316.90,27434236.00,82414.40,96.33,95.00,97.00,97.00,95.33,91.33,92.00,92.00,0.00,
nginx-0-1-128-1048576-1,17.00,4.00,15.008,1918.89333333,1.87149375871,65773.3333333,65.4896090146,2136667555.00,3213898.26,2315129.67,2274.18,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-1048576-0,8.00,4.01,7.6,974.31,0.435966359558,129520.0,147.196014439,1085703856.67,1056556.40,1773204.67,4853.60,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-1048576-3,42.67,3.97,38.336,4948.05666667,48.4869153025,26356.6666667,238.932812499,5427953753.00,69717844.69,4650118.00,90945.55,98.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-1048576-2,32.00,4.00,28.256,3614.57333333,7.92061585709,34906.6666667,74.087035903,4051911424.33,13573503.09,3981554.00,7554.87,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-8-128-16384-1,14.00,27.34,13.072,105491.68,94.5975337945,1476.66666667,4.71404520791,1860090590.00,3279985.33,28289849.67,47700.76,96.00,94.00,95.67,96.00,94.33,90.00,91.00,91.00,0.00,
nginx-0-8-128-16384-0,12.00,27.70,11.344,91695.32,100.652905572,1696.66666667,4.71404520791,1617173733.67,5410872.28,24461095.67,71823.71,96.67,95.67,97.00,97.00,95.67,91.67,92.33,92.67,0.00,
nginx-0-8-128-16384-3,21.00,27.93,18.896,152609.116667,1575.75319151,933.333333333,12.4721912892,2683985742.00,29453642.02,35477095.67,394376.48,96.00,97.00,98.00,99.00,96.67,94.00,92.67,92.00,0.00,
nginx-0-8-128-16384-2,15.00,27.34,13.792,111366.243333,766.381665983,1383.33333333,12.4721912892,1962489230.33,16516615.77,29846924.33,253543.61,96.00,94.00,95.33,96.00,95.00,90.00,90.67,90.67,0.00,
