[1073992.040044] systemd-journald[788]: Vacuuming done, freed 0B of archived journals on disk.
[1073993.001807] tee (23162): drop_caches: 3
[1073993.371815] Running randread depth 8 jobs 1 size 16K zc 0 remote zc 0 zcrc 0
[1074052.448527] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 28 
[1074072.499722] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1074187.802940] nvme_tcp: copy    3                0                0                0                0                0
[1074187.815023] nvme_tcp: copy    4                0                0                0                0                0
[1074187.827105] nvme_tcp: copy    5                0                0                0                0                0
[1074187.839186] nvme_tcp: copy    6                0                0                0                0                0
[1074187.851263] nvme_tcp: copy    7                0                0                0                0                0
[1074187.863346] nvme_tcp: copy    8                0                0                0                0                0
[1074187.875431] nvme_tcp: copy    9                0                0                0                0                0
[1074187.887517] nvme_tcp: copy   10                0                0                0                0                0
[1074187.899600] nvme_tcp: copy   11                0                0                0                0                0
[1074187.911687] nvme_tcp: copy   12                0                0                0                0                0
[1074187.923772] nvme_tcp: copy   13                0                0                0                0                0
[1074187.935858] nvme_tcp: copy   14                0                0                0                0                0
[1074187.947942] nvme_tcp: copy   15                0                0                0                0                0
[1074187.970181] nvme_tcp: copy   16                0                0                0                0                0
[1074187.982257] nvme_tcp: copy   17                0                0                0                0                0
[1074187.994345] nvme_tcp: copy   18                0                0                0                0                0
[1074188.006431] nvme_tcp: copy   19                0                0                0                0                0
[1074188.018514] nvme_tcp: copy   20                0                0                0                0                0
[1074188.030598] nvme_tcp: copy   21                0                0                0                0                0
[1074188.042683] nvme_tcp: copy   22                0                0                0                0                0
[1074188.054766] nvme_tcp: copy   23                0                0                0                0                0
[1074188.066851] nvme_tcp: copy   24                0                0                0                0                0
[1074188.078936] nvme_tcp: copy   25                0                0                0                0                0
[1074188.091020] nvme_tcp: copy   26                0                0                0                0                0
[1074188.103107] nvme_tcp: copy   27                0                0                0                0                0
[1074188.115192] nvme_tcp: crc    0                0       2834546455                0                0                0
[1074188.127178] nvme_tcp: crc    1                0                0                0                0                0
[1074188.139165] nvme_tcp: crc    2                0                0                0                0                0
[1074188.151152] nvme_tcp: crc    3                0                0                0                0                0
[1074188.163138] nvme_tcp: crc    4                0                0                0                0                0
[1074188.175126] nvme_tcp: crc    5                0                0                0                0                0
[1074188.187113] nvme_tcp: crc    6                0                0                0                0                0
