test,bandwidth,cpu,copy_cycles_0,perf_cycles,rd_runtime,blocksize,zerocopy,rd_bw,rd_iops,iodepth,Total_rx_bytes,Total_rx_packets,Total_tx_packets,crc_cycles_0,cpu_1,copy_cycles_0_std,crc_cycles_0_std,perf_cycles_std,cpu_1_std
fio-256K-16-0-0-1,12.00,3.83,325729067.113,59995615695.9,30003.0,256K,0,1402536.3,5477.7,16,1553845220.88,1033977.62,19049.38,397329987.925,96.00,390962.713026,500351.572518,24212990.0315,0.00,
fio-256K-16-0-0-0,12.00,3.82,0,59837413852.2,30002.9,256K,0,1451917.6,5670.4,16,1557813651.75,1036693.12,19305.62,398268480.6,95.50,0,0.0,80779954.7455,0.50,
fio-4K-2048-0-0-1,2.00,3.98,68256776.275,61446631816.2,30001.3,4K,0,279320.5,69761.5,2048,313696109.62,220510.38,50575.88,101301111.0,100.00,1017358.09741,1341234.08628,60739451.6982,0.00,
fio-4K-2048-0-0-0,2.00,3.97,0,61516857310.0,30001.1,4K,0,290834.0,72639.9,2048,314504055.25,221004.12,51188.38,101383064.8,100.00,0,0.0,60052111.2231,0.00,
fio-64K-4096-0-0-1,7.50,3.98,680903526.225,61527035541.4,30003.9,64K,0,903270.1,13976.5,4096,995319466.25,667242.12,15808.0,259930185.825,100.00,28161869.4261,4594070.81069,26945616.5668,0.00,
fio-64K-4096-0-0-0,7.88,3.97,0,61418023961.4,30003.4,64K,0,939224.7,14538.4,4096,1002390390.25,672049.0,15952.75,265121291.2,100.00,0,0.0,55810826.3861,0.00,
fio-64K-256-0-0-0,10.00,3.98,0,61442526106.4,30003.3,64K,0,1212542.8,18936.9,256,1303552558.0,874191.88,25157.75,340643334.8,100.00,0,0.0,77920740.8519,0.00,
fio-64K-256-0-0-1,10.00,3.97,288148502.875,61484478613.0,30001.5,64K,0,1172700.2,18314.4,256,1298002049.0,870430.62,24897.75,340050898.175,100.00,1541701.98468,1030215.15829,33622837.0369,0.00,
fio-256K-128-0-0-0,10.00,3.96,0,61430641683.2,30003.5,256K,0,1215568.1,4743.6,128,1307354343.75,868995.5,7549.62,322856648.7,99.00,0,0.0,65157138.1043,0.00,
fio-256K-128-0-0-1,10.00,3.97,701219464.35,61460149949.8,30006.4,256K,0,1163961.0,4541.8,128,1291898307.12,858767.75,7422.38,330077503.75,99.00,26282665.4083,7142631.31065,46200636.7269,0.00,
fio-16K-32-0-0-0,5.00,3.65,0,55340668801.0,30001.0,16K,0,609474.6,38090.6,32,656328143.5,445523.12,41514.25,184345443.3,90.12,0,0.0,111240169.441,0.33,
fio-16K-32-0-0-1,5.00,3.64,139247318.938,55318127974.2,30001.0,16K,0,584619.1,36537.1,32,649750320.5,440944.12,41160.0,184458777.713,89.88,646295.23742,610593.083841,120890392.908,0.33,
fio-1024K-2048-0-0-1,10.00,3.92,820158400.933,62086881105.3,30007.6,1024K,0,1229034.2,1131.6,2048,1285705756.0,850448.67,2985.33,326907929.933,100.00,238496.599559,93928.1843705,237557230.079,0.00,
fio-1024K-2048-0-0-0,10.00,3.94,819630961.6,62046044119.0,30008.8,1024K,0,1266664.0,1168.2,2048,1283253462.67,848853.0,3005.67,326758120.6,100.00,0.0,0.0,243901860.02,0.00,
fio-64K-1024-0-0-1,7.38,3.97,694030583.15,61504576028.4,30002.6,64K,0,895169.2,13952.4,1024,991819037.5,664884.62,15572.25,259116176.875,100.00,31552217.7114,3911545.6286,29413112.9839,0.00,
fio-64K-1024-0-0-0,7.62,3.97,0,61443022779.4,30004.6,64K,0,926363.4,14439.9,1024,993822946.75,666254.62,15648.38,254926761.0,100.00,0,0.0,107855396.411,0.00,
fio-256K-64-0-0-0,12.00,3.84,0,60194123930.6,30011.2,256K,0,1448954.3,5657.3,64,1554065214.62,1034158.62,18957.75,397007764.0,96.00,0,0.0,77384577.6229,0.00,
fio-256K-64-0-0-1,12.00,3.85,340452314.737,60309833791.2,30011.0,256K,0,1399939.3,5465.9,64,1548549948.12,1030503.62,18641.5,397346288.0,96.00,2633056.60206,568900.053178,81194814.0435,0.00,
fio-4K-256-0-0-1,2.00,3.97,67804925.95,61377538551.0,30001.1,4K,0,278093.7,69514.6,256,312470801.88,219796.88,51404.12,101077994.719,99.00,889086.79187,1220041.71996,90736664.8321,0.00,
fio-256K-4096-0-0-0,9.00,3.96,0,61572230099.9,30008.5,256K,0,1149168.2,4351.9,4096,1198871223.62,796532.62,6401.25,305811349.0,100.00,0,0.0,64566405.9904,0.00,
fio-64K-128-0-0-0,10.00,3.95,0,61329970799.8,30001.8,64K,0,1218800.7,19038.9,128,1309100769.12,877862.12,25467.88,339960542.1,99.00,0,0.0,92790018.9994,0.00,
fio-64K-128-0-0-1,10.00,3.96,274218645.538,61318687405.8,30002.2,64K,0,1173199.4,18326.4,128,1300039870.75,871819.38,25132.88,340099242.312,99.00,526560.946556,568499.70142,105860543.294,0.00,
fio-64K-512-0-0-1,8.00,3.98,564972801.525,61476600098.5,30001.8,64K,0,988556.2,15428.8,512,1100369087.0,737659.75,19427.75,286001554.7,100.00,23042616.9087,4451091.11794,77949958.7934,0.00,
fio-64K-512-0-0-0,8.00,3.97,0,61525203710.5,30002.5,64K,0,1021711.9,15946.6,512,1099403493.12,737127.62,19268.25,286693043.2,100.00,0,0.0,59593133.2178,0.00,
fio-4K-128-0-0-1,2.00,3.89,64007525.5875,59929518559.1,30001.0,4K,0,261999.1,65495.1,128,293041331.5,206131.38,52707.12,95728654.425,97.00,956726.756226,1500027.69856,43908902.3213,0.00,
fio-4K-128-0-0-0,2.00,3.89,0,59914571667.9,30001.0,4K,0,271802.5,67946.0,128,293779496.38,206681.12,53785.12,91510006.1,97.00,0,0.0,79583012.6028,0.00,
fio-256K-32-0-0-1,12.00,3.83,325697808.45,59981190254.0,30005.5,256K,0,1399835.8,5466.6,32,1549701085.25,1031336.0,19085.38,396907954.9,95.88,883215.806615,565496.300681,41570662.9017,0.33,
fio-256K-32-0-0-0,12.00,3.83,0,59926013604.5,30005.7,256K,0,1451678.9,5669.0,32,1557810704.88,1036637.88,19251.38,399953428.0,95.88,0,0.0,43332911.3409,0.33,
fio-4K-4096-0-0-0,2.00,3.97,0,61501191278.9,29888.7,4K,0,287245.5,71673.9,4096,312277794.88,219659.5,51561.88,98144171.2,100.00,0,0.0,49843238.5901,0.00,
fio-4K-4096-0-0-1,2.00,3.98,76194999.8,61492501034.2,30001.1,4K,0,276277.6,68932.6,4096,308737445.88,217220.88,51458.5,99723001.675,100.00,1149745.2059,753390.399837,75217599.9123,0.00,
fio-256K-256-0-0-0,9.00,3.96,0,61491799278.2,30006.0,256K,0,1103687.7,4302.1,256,1185015575.75,787225.0,6311.5,307941656.4,100.00,0,0.0,52920689.1786,0.00,
fio-256K-256-0-0-1,9.00,3.97,799534946.45,61530752312.5,30006.3,256K,0,1063841.4,4146.6,256,1178806434.0,783134.5,6277.12,301633644.05,100.00,30350512.7946,6740736.17877,18884296.8653,0.00,
fio-1024K-2-0-0-0,10.00,2.85,262806108.8,61952232354.3,30001.4,1024K,0,1179401.2,1151.0,2,1265696383.0,839487.67,5809.33,316717947.2,69.00,0.0,0.0,3725745.11149,0.00,
fio-1024K-2-0-0-1,9.67,2.85,262525627.133,61931057438.0,30001.6,1024K,0,1125220.2,1098.2,2,1251993298.67,830365.0,5709.67,316272379.133,68.67,846050.709562,1714887.4959,20831241.3375,0.47,
fio-1024K-256-0-0-1,10.00,3.94,823501514.2,61930491664.0,30004.6,1024K,0,1172852.4,1136.4,256,1289472516.67,853009.33,3049.33,328079602.867,100.00,180216.544774,213982.991443,2844733.74996,0.00,
fio-1024K-8192-0-0-0,10.00,3.94,818611601.2,62377084973.3,30012.2,1024K,0,1475277.0,1167.2,8192,1282784129.67,848606.0,3042.0,326632590.6,100.00,0.0,0.0,86391446.0961,0.00,
fio-64K-8-0-0-1,8.00,3.51,232323224.769,53996372233.8,30001.0,64K,0,975806.2,15246.3,8,1081165742.12,726944.88,25290.62,290325007.325,86.62,1205060.25855,1242256.64103,296382727.479,0.48,
fio-16K-512-0-0-0,6.00,3.97,0,61413251368.9,30001.8,16K,0,747584.7,46706.6,512,805073956.0,544461.25,35732.38,222816063.0,100.00,0,0.0,97305369.0754,0.00,
fio-16K-512-0-0-1,6.00,3.99,168750626.338,61475930803.5,30002.1,16K,0,719393.0,44944.5,512,799741666.75,540913.0,35527.0,221698465.912,100.00,972195.551222,1384655.95073,65885744.8902,0.00,
fio-4K-32-0-0-1,1.00,3.64,53862417.7625,55223785946.6,30001.0,4K,0,217675.2,54417.4,32,243514424.5,174260.25,56224.0,82635481.0375,90.00,366626.160751,566434.586648,298468411.085,0.50,
fio-1024K-1024-0-0-0,10.00,3.94,819829160.8,61919235100.3,30009.0,1024K,0,1231911.6,1168.4,1024,1283766718.33,849151.0,3023.67,327032841.0,100.00,0.0,0.0,5436157.39577,0.00,
fio-1024K-1024-0-0-1,10.00,3.93,820361791.933,61904052514.0,30009.8,1024K,0,1194706.2,1132.0,1024,1287896666.33,851910.0,3100.67,327143754.467,100.00,380864.524754,120073.977696,10060707.1434,0.00,
fio-16K-1-0-0-1,1.00,2.58,47358892.725,36962993206.2,30001.0,16K,0,184492.6,11530.2,1,205447427.25,143401.88,43294.75,78991513.3125,60.25,380045.692921,532174.172978,331842098.342,0.43,
fio-16K-1-0-0-0,1.00,2.59,0,36873965480.6,30001.0,16K,0,192914.9,12056.8,1,207846678.38,145080.12,43680.88,79238575.55,60.88,0,0.0,482778414.657,1.62,
fio-256K-8-0-0-1,11.00,3.71,313713328.0,58350573682.5,30001.9,256K,0,1349371.1,5270.3,8,1495204187.5,994974.75,19364.25,382678332.0,92.50,629175.441226,403993.754212,91911199.1745,0.50,
fio-64K-8192-0-0-1,7.88,3.97,665286624.95,61566035600.8,30004.3,64K,0,919179.7,14088.6,8192,1005588088.38,674129.5,16070.75,262716765.4,100.00,20799043.8975,3160647.80181,42295548.5518,0.00,
fio-4K-32-0-0-0,1.00,3.62,0,54735049275.1,30001.0,4K,0,225059.8,56263.5,32,243806162.12,174347.88,55983.88,83129377.45,89.50,0,0.0,456442505.111,0.71,
fio-64K-8-0-0-0,8.00,3.53,0,53587855638.0,30001.0,64K,0,1005668.4,15713.0,8,1084039896.25,728931.0,25605.75,289733428.15,86.75,0,0.0,213340595.547,0.43,
fio-256K-8192-0-0-0,9.00,3.98,0,61672142077.4,29921.2,256K,0,1160272.6,4258.0,8192,1169663488.88,777132.38,6268.25,296126463.0,100.00,0,0.0,34663960.3492,0.00,
fio-256K-8192-0-0-1,9.00,3.96,803456010.775,61650493607.5,30004.8,256K,0,1125172.3,4121.6,8192,1172303972.88,778843.38,6209.0,299933726.4,100.00,2246694.62401,973146.797061,46547035.5855,0.00,
fio-256K-512-0-0-1,9.00,3.98,782963793.775,61455606793.0,30008.9,256K,0,1080072.2,4201.6,512,1196474945.62,794890.38,6410.38,306020341.975,100.00,24582137.0657,3939588.24983,60246041.6017,0.00,
fio-16K-256-0-0-1,6.00,3.95,167695854.363,61281057318.6,30001.3,16K,0,717036.4,44805.7,256,794821045.62,537613.38,35276.12,221463747.488,99.00,495091.222799,824203.422813,62895461.7398,0.00,
fio-256K-1024-0-0-1,9.00,3.97,795749704.175,61504838547.2,30004.9,256K,0,1081371.2,4189.3,1024,1193053776.88,792505.38,6214.25,304869161.8,100.00,23532115.9466,7465927.80248,51670648.968,0.00,
fio-256K-1024-0-0-0,9.00,3.96,0,61383869015.0,30005.6,256K,0,1111165.6,4306.0,1024,1185725147.38,787714.38,6243.88,309449827.8,100.00,0,0.0,42563878.0791,0.00,
fio-4K-1-0-0-1,0.00,2.70,14290130.9,40621518903.6,30001.0,4K,0,63884.5,15970.8,1,71261256.62,49955.88,33397.25,39025258.7062,63.12,318749.493363,598332.112291,708357578.28,2.26,
fio-4K-1-0-0-0,0.00,2.65,0,39323696247.9,30001.0,4K,0,66357.8,16589.0,1,71794526.25,50323.88,33660.62,39902280.3,62.88,0,0.0,1201851007.27,2.32,
fio-16K-64-0-0-1,5.00,3.79,151566725.363,58202667788.2,30001.2,16K,0,640478.9,40027.5,64,712871486.75,482743.0,39528.62,200169557.225,94.62,1319380.71986,1684569.73034,145191661.152,0.48,
fio-16K-64-0-0-0,5.00,3.78,0,57946982154.2,30001.0,16K,0,659859.4,41238.6,64,713848252.88,483361.62,39966.75,197788049.4,94.25,0,0.0,79070559.0365,0.43,
fio-256K-1-0-0-0,4.00,2.46,0,25438956885.0,30001.0,256K,0,545269.8,2129.4,1,585123852.88,390737.5,12851.75,212029877.6,57.75,0,0.0,30467227.0317,0.43,
