test,bandwidth,cpu,copy_cycles_0,perf_cycles,rd_runtime,blocksize,zerocopy,rd_bw,rd_iops,iodepth,Total_rx_bytes,Total_rx_packets,Total_tx_packets,crc_cycles_0,cpu_1,copy_cycles_0_std,crc_cycles_0_std,perf_cycles_std,cpu_1_std
fio-16K-1024-0-0-1,6.00,3.97,177798134.05,61517178033.4,30001.3,16K,0,716130.8,44723.6,1024,795909817.5,538362.25,35324.5,220969466.425,100.00,1114297.5939,657174.294611,40034380.9608,0.00,
fio-4K-8-0-0-0,1.00,3.04,0,42574081823.1,30001.0,4K,0,144879.6,36219.3,8,157140088.75,112251.0,44320.62,63482298.2,73.75,0,0.0,1418936222.41,1.98,
fio-4K-8-0-0-1,1.00,3.12,37420280.7313,44966523151.6,30001.0,4K,0,145389.1,36346.7,8,163153645.38,116754.12,45536.75,64824699.3125,75.75,661957.040908,902699.845513,946418515.492,0.83,
fio-1024K-4-0-0-0,12.00,3.42,320945815.0,61949292369.0,30002.0,1024K,0,1439333.6,1405.0,4,1544766422.67,1024507.0,5630.67,386801786.6,84.00,0.0,5.96046447754e-08,43511320.1779,0.00,
fio-1024K-4-0-0-1,12.00,3.38,322214564.8,61915656532.3,30002.0,1024K,0,1385495.2,1352.4,4,1538513367.33,1020447.0,5634.67,387766743.733,84.00,148590.999658,63500.1860554,20947043.5816,0.00,
fio-1024K-256-0-0-0,10.00,3.93,823250590.0,61859997596.3,30019.8,1024K,0,1210899.4,1173.4,256,1289239396.0,852749.0,3020.0,328203732.4,100.00,0.0,0.0,100793756.399,0.00,
fio-1024K-512-0-0-0,10.00,3.94,818195944.6,61921477254.7,30014.6,1024K,0,1212822.0,1167.0,512,1282062051.33,848052.33,3064.0,326498336.2,100.00,0.0,0.0,5190627.51215,0.00,
fio-4K-1024-0-0-1,2.00,3.98,67714078.675,61515066214.5,30001.1,4K,0,277610.9,69368.3,1024,310537381.25,218356.25,51657.0,100532233.575,100.00,630155.79824,790778.433833,23124535.4362,0.00,
fio-16K-8192-0-0-1,5.00,3.97,421745406.95,61511108446.8,30002.7,16K,0,582533.2,36134.8,8192,641684854.38,433777.88,35820.62,176254756.875,100.00,897040.416217,534942.123015,87520013.3463,0.00,
fio-16K-8192-0-0-0,5.00,3.98,0,61462330318.6,29901.7,16K,0,603568.6,37448.6,8192,645798117.38,436703.25,35821.12,175928379.0,100.00,0,0.0,85177248.9086,0.00,
fio-64K-4-0-0-1,6.00,3.01,178325976.587,43724413856.6,30001.0,64K,0,710531.6,11101.5,4,790352912.25,534063.38,24555.62,226243249.337,72.00,873975.929308,977641.580034,206118615.031,0.00,
fio-64K-4-0-0-0,6.00,3.17,0,43085162314.6,30001.0,64K,0,737518.4,11523.1,4,791127763.88,534621.0,24747.5,225998925.6,72.00,0,0.0,179406021.971,0.00,
