[333790.063088] Running randread depth 32 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[333809.189071] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[333829.223119] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[333829.236024] nvme_tcp: copy    0                0      14446491164                0                0                0
[333829.248013] nvme_tcp: copy    1                0                0                0                0                0
[333829.259999] nvme_tcp: copy    2                0                0                0                0                0
[333829.271984] nvme_tcp: copy    3                0                0                0                0                0
[333829.283969] nvme_tcp: copy    4                0                0                0                0                0
[333829.295953] nvme_tcp: copy    5                0                0                0                0                0
[333829.307926] nvme_tcp: copy    6                0                0                0                0                0
[333829.319911] nvme_tcp: copy    7                0                0                0                0                0
[333829.331895] nvme_tcp: copy    8                0                0                0                0                0
[333829.343879] nvme_tcp: copy    9                0                0                0                0                0
[333829.355868] nvme_tcp: copy   10                0                0                0                0                0
[333829.367853] nvme_tcp: copy   11                0                0                0                0                0
[333829.379838] nvme_tcp: copy   12                0                0                0                0                0
[333829.391825] nvme_tcp: copy   13                0                0                0                0                0
[333829.403810] nvme_tcp: copy   14                0                0                0                0                0
[333829.415796] nvme_tcp: copy   15                0                0                0                0                0
[333829.427781] nvme_tcp: copy   16                0                0                0                0                0
[333829.439772] nvme_tcp: copy   17                0                0                0                0                0
[333829.451759] nvme_tcp: copy   18                0                0                0                0                0
[333829.463744] nvme_tcp: copy   19                0                0                0                0                0
[333829.475730] nvme_tcp: copy   20                0                0                0                0                0
[333829.487716] nvme_tcp: copy   21                0                0                0                0                0
[333829.499701] nvme_tcp: copy   22                0                0                0                0                0
[333829.511686] nvme_tcp: copy   23                0                0                0                0                0
[333829.523671] nvme_tcp: copy   24                0                0                0                0                0
[333829.535657] nvme_tcp: copy   25                0                0                0                0                0
[333829.547642] nvme_tcp: copy   26                0                0                0                0                0
[333829.559627] nvme_tcp: copy   27                0                0                0                0                0
[333829.571613] nvme_tcp: crc    0                0       7061792012                0                0                0
[333829.583501] nvme_tcp: crc    1                0                0                0                0                0
[333829.595388] nvme_tcp: crc    2                0                0                0                0                0
[333829.607275] nvme_tcp: crc    3                0                0                0                0                0
[333829.619164] nvme_tcp: crc    4                0                0                0                0                0
[333829.631050] nvme_tcp: crc    5                0                0                0                0                0
[333829.642927] nvme_tcp: crc    6                0                0                0                0                0
[333829.654815] nvme_tcp: crc    7                0                0                0                0                0
[333829.666702] nvme_tcp: crc    8                0                0                0                0                0
[333829.678589] nvme_tcp: crc    9                0                0                0                0                0
[333829.690470] nvme_tcp: crc   10                0                0                0                0                0
[333829.702358] nvme_tcp: crc   11                0                0                0                0                0
