# started on Sat Jun 13 23:07:35 2020

51116147676,ns,duration_time,51116147676,100.00,1643.141,M/sec
31108.81,msec,task-clock,31108810583,100.00,0.609,CPUs utilized
62217533767,,cycles,31108806917,100.00,2.000,GHz
71240281879,,instructions,31108797255,100.00,1.15,insn per cycle
247205104,,cache-misses,31108796141,100.00,,
# started on Sat Jun 13 23:08:51 2020

51131441917,ns,duration_time,51131441917,100.00,1642.579,M/sec
31128.75,msec,task-clock,31128749155,100.00,0.609,CPUs utilized
62257410540,,cycles,31128745265,100.00,2.000,GHz
71326335128,,instructions,31128743035,100.00,1.15,insn per cycle
247247235,,cache-misses,31128742457,100.00,,
# started on Sat Jun 13 23:10:11 2020

51217537054,ns,duration_time,51217537054,100.00,1640.693,M/sec
31217.01,msec,task-clock,31217006554,100.00,0.609,CPUs utilized
62433924254,,cycles,31217002702,100.00,2.000,GHz
71464096054,,instructions,31217000724,100.00,1.14,insn per cycle
246963597,,cache-misses,31216999540,100.00,,
# started on Sat Jun 13 23:11:21 2020

51172390701,ns,duration_time,51172390701,100.00,1641.663,M/sec
31171.07,msec,task-clock,31171067908,100.00,0.609,CPUs utilized
62342048252,,cycles,31171064002,100.00,2.000,GHz
71410268883,,instructions,31171052818,100.00,1.15,insn per cycle
247297007,,cache-misses,31171051598,100.00,,
# started on Sat Jun 13 23:12:39 2020

51216123654,ns,duration_time,51216123654,100.00,1641.151,M/sec
31207.43,msec,task-clock,31207432222,100.00,0.609,CPUs utilized
62414774469,,cycles,31207427320,100.00,2.000,GHz
71420582523,,instructions,31207426190,100.00,1.14,insn per cycle
247125828,,cache-misses,31207425162,100.00,,
