[1107885.265760] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1107886.204702] tee (14918): drop_caches: 3
[1107886.503371] Running randread depth 32 jobs 1 size 64K zc 0 remote zc 0 zcrc 0
[1107945.667533] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1107965.710772] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1107965.723759] nvme_tcp: copy    0                0       5450249960                0                0                0
[1107965.735836] nvme_tcp: copy    1                0                0                0                0                0
[1107965.747915] nvme_tcp: copy    2                0                0                0                0                0
[1107965.759997] nvme_tcp: copy    3                0                0                0                0                0
[1107965.772078] nvme_tcp: copy    4                0                0                0                0                0
[1107965.784161] nvme_tcp: copy    5                0                0                0                0                0
[1107965.796241] nvme_tcp: copy    6                0                0                0                0                0
[1107965.808322] nvme_tcp: copy    7                0                0                0                0                0
[1107965.820403] nvme_tcp: copy    8                0                0                0                0                0
[1107965.832487] nvme_tcp: copy    9                0                0                0                0                0
[1107965.844571] nvme_tcp: copy   10                0                0                0                0                0
[1107965.856657] nvme_tcp: copy   11                0                0                0                0                0
[1107965.868741] nvme_tcp: copy   12                0                0                0                0                0
[1107965.880823] nvme_tcp: copy   13                0                0                0                0                0
[1107965.892907] nvme_tcp: copy   14                0                0                0                0                0
[1107965.904989] nvme_tcp: copy   15                0                0                0                0                0
[1107965.917072] nvme_tcp: copy   16                0                0                0                0                0
[1107965.929164] nvme_tcp: copy   17                0                0                0                0                0
[1107965.941328] nvme_tcp: copy   18                0                0                0                0                0
[1107965.953412] nvme_tcp: copy   19                0                0                0                0                0
[1107965.965494] nvme_tcp: copy   20                0                0                0                0                0
[1107965.987726] nvme_tcp: copy   21                0                0                0                0                0
[1107965.999811] nvme_tcp: copy   22                0                0                0                0                0
[1107966.011893] nvme_tcp: copy   23                0                0                0                0                0
[1107966.023976] nvme_tcp: copy   24                0                0                0                0                0
[1107966.036058] nvme_tcp: copy   25                0                0                0                0                0
[1107966.048141] nvme_tcp: copy   26                0                0                0                0                0
[1107966.060225] nvme_tcp: copy   27                0                0                0                0                0
[1107966.072310] nvme_tcp: crc    0                0       6754971136                0                0                0
[1107966.084294] nvme_tcp: crc    1                0                0                0                0                0
[1107966.096280] nvme_tcp: crc    2                0                0                0                0                0
[1107966.108264] nvme_tcp: crc    3                0                0                0                0                0
[1107966.120250] nvme_tcp: crc    4                0                0                0                0                0
[1107966.132234] nvme_tcp: crc    5                0                0                0                0                0
[1107966.144219] nvme_tcp: crc    6                0                0                0                0                0
[1107966.156204] nvme_tcp: crc    7                0                0                0                0                0
[1107966.168191] nvme_tcp: crc    8                0                0                0                0                0
[1107966.180176] nvme_tcp: crc    9                0                0                0                0                0
[1107966.192161] nvme_tcp: crc   10                0                0                0                0                0
