[334441.544911] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334460.595572] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[334480.627771] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[334480.640548] nvme_tcp: copy    0                0      16422876532                0                0                0
[334480.652537] nvme_tcp: copy    1                0                0                0                0                0
[334480.664523] nvme_tcp: copy    2                0                0                0                0                0
[334480.676509] nvme_tcp: copy    3                0                0                0                0                0
[334480.688499] nvme_tcp: copy    4                0                0                0                0                0
[334480.700486] nvme_tcp: copy    5                0                0                0                0                0
[334480.712470] nvme_tcp: copy    6                0                0                0                0                0
[334480.724455] nvme_tcp: copy    7                0                0                0                0                0
[334480.736440] nvme_tcp: copy    8                0                0                0                0                0
[334480.748426] nvme_tcp: copy    9                0                0                0                0                0
[334480.760411] nvme_tcp: copy   10                0                0                0                0                0
[334480.772396] nvme_tcp: copy   11                0                0                0                0                0
[334480.784382] nvme_tcp: copy   12                0                0                0                0                0
[334480.796367] nvme_tcp: copy   13                0                0                0                0                0
[334480.808354] nvme_tcp: copy   14                0                0                0                0                0
[334480.820340] nvme_tcp: copy   15                0                0                0                0                0
[334480.832325] nvme_tcp: copy   16                0                0                0                0                0
[334480.844317] nvme_tcp: copy   17                0                0                0                0                0
[334480.856302] nvme_tcp: copy   18                0                0                0                0                0
[334480.868288] nvme_tcp: copy   19                0                0                0                0                0
[334480.880274] nvme_tcp: copy   20                0                0                0                0                0
[334480.892259] nvme_tcp: copy   21                0                0                0                0                0
[334480.904244] nvme_tcp: copy   22                0                0                0                0                0
[334480.916230] nvme_tcp: copy   23                0                0                0                0                0
[334480.928216] nvme_tcp: copy   24                0                0                0                0                0
[334480.940201] nvme_tcp: copy   25                0                0                0                0                0
[334480.952185] nvme_tcp: copy   26                0                0                0                0                0
[334480.964170] nvme_tcp: copy   27                0                0                0                0                0
[334480.976155] nvme_tcp: crc    0                0       6552318616                0                0                0
[334480.988043] nvme_tcp: crc    1                0                0                0                0                0
[334480.999929] nvme_tcp: crc    2                0                0                0                0                0
[334481.011809] nvme_tcp: crc    3                0                0                0                0                0
[334481.023696] nvme_tcp: crc    4                0                0                0                0                0
[334481.035576] nvme_tcp: crc    5                0                0                0                0                0
[334481.047462] nvme_tcp: crc    6                0                0                0                0                0
[334481.059341] nvme_tcp: crc    7                0                0                0                0                0
[334481.071228] nvme_tcp: crc    8                0                0                0                0                0
[334481.083107] nvme_tcp: crc    9                0                0                0                0                0
[334481.094994] nvme_tcp: crc   10                0                0                0                0                0
[334481.106881] nvme_tcp: crc   11                0                0                0                0                0
[334481.118768] nvme_tcp: crc   12                0                0                0                0                0
[334481.130647] nvme_tcp: crc   13                0                0                0                0                0
[334481.142533] nvme_tcp: crc   14                0                0                0                0                0
[334481.154420] nvme_tcp: crc   15                0                0                0                0                0
[334481.166299] nvme_tcp: crc   16                0                0                0                0                0
[334481.178187] nvme_tcp: crc   17                0                0                0                0                0
[334481.190074] nvme_tcp: crc   18                0                0                0                0                0
[334481.201950] nvme_tcp: crc   19                0                0                0                0                0
[334481.213838] nvme_tcp: crc   20                0                0                0                0                0
[334481.225724] nvme_tcp: crc   21                0                0                0                0                0
[334481.237602] nvme_tcp: crc   22                0                0                0                0                0
[334481.249523] nvme_tcp: crc   23                0                0                0                0                0
[334481.261403] nvme_tcp: crc   24                0                0                0                0                0
[334481.273291] nvme_tcp: crc   25                0                0                0                0                0
[334481.285178] nvme_tcp: crc   26                0                0                0                0                0
[334481.297064] nvme_tcp: crc   27                0                0                0                0                0
[334481.308944] nvme_tcp: tx_crc    0                0                0                0                0                0
[334481.321122] nvme_tcp: tx_crc    1                0                0                0                0                0
[334481.333300] nvme_tcp: tx_crc    2                0                0                0                0                0
[334481.345478] nvme_tcp: tx_crc    3                0                0                0                0                0
[334481.357648] nvme_tcp: tx_crc    4                0                0                0                0                0
[334481.369826] nvme_tcp: tx_crc    5                0                0                0                0                0
[334481.382005] nvme_tcp: tx_crc    6                0                0                0                0                0
[334481.394182] nvme_tcp: tx_crc    7                0                0                0                0                0
[334481.406361] nvme_tcp: tx_crc    8                0                0                0                0                0
[334481.418539] nvme_tcp: tx_crc    9                0                0                0                0                0
[334481.430717] nvme_tcp: tx_crc   10                0                0                0                0                0
[334481.442896] nvme_tcp: tx_crc   11                0                0                0                0                0
[334481.455076] nvme_tcp: tx_crc   12                0                0                0                0                0
[334481.467255] nvme_tcp: tx_crc   13                0                0                0                0                0
[334481.479433] nvme_tcp: tx_crc   14                0                0                0                0                0
[334481.491611] nvme_tcp: tx_crc   15                0                0                0                0                0
[334481.503788] nvme_tcp: tx_crc   16                0                0                0                0                0
[334481.526030] nvme_tcp: tx_crc   17                0                0                0                0                0
[334481.538209] nvme_tcp: tx_crc   18                0                0                0                0                0
[334481.550387] nvme_tcp: tx_crc   19                0                0                0                0                0
[334481.562566] nvme_tcp: tx_crc   20                0                0                0                0                0
[334481.574743] nvme_tcp: tx_crc   21                0                0                0                0                0
[334481.586922] nvme_tcp: tx_crc   22                0                0                0                0                0
[334481.599100] nvme_tcp: tx_crc   23                0                0                0                0                0
[334481.611278] nvme_tcp: tx_crc   24                0                0                0                0                0
[334481.623448] nvme_tcp: tx_crc   25                0                0                0                0                0
[334481.635625] nvme_tcp: tx_crc   26                0                0                0                0                0
[334481.647804] nvme_tcp: tx_crc   27                0                0                0                0                0
[334481.659982] nvme_tcp: tracing_off done
[334516.522121] tee (3297): drop_caches: 3
[334516.723411] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334480.627771] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[334480.640548] nvme_tcp: copy    0                0      16422876532                0                0                0
[334480.652537] nvme_tcp: copy    1                0                0                0                0                0
[334480.664523] nvme_tcp: copy    2                0                0                0                0                0
[334480.676509] nvme_tcp: copy    3                0                0                0                0                0
[334480.688499] nvme_tcp: copy    4                0                0                0                0                0
[334480.700486] nvme_tcp: copy    5                0                0                0                0                0
[334480.712470] nvme_tcp: copy    6                0                0                0                0                0
[334480.724455] nvme_tcp: copy    7                0                0                0                0                0
[334480.736440] nvme_tcp: copy    8                0                0                0                0                0
[334480.748426] nvme_tcp: copy    9                0                0                0                0                0
[334480.760411] nvme_tcp: copy   10                0                0                0                0                0
[334480.772396] nvme_tcp: copy   11                0                0                0                0                0
[334480.784382] nvme_tcp: copy   12                0                0                0                0                0
[334480.796367] nvme_tcp: copy   13                0                0                0                0                0
[334480.808354] nvme_tcp: copy   14                0                0                0                0                0
[334480.820340] nvme_tcp: copy   15                0                0                0                0                0
[334480.832325] nvme_tcp: copy   16                0                0                0                0                0
[334480.844317] nvme_tcp: copy   17                0                0                0                0                0
[334480.856302] nvme_tcp: copy   18                0                0                0                0                0
[334480.868288] nvme_tcp: copy   19                0                0                0                0                0
[334480.880274] nvme_tcp: copy   20                0                0                0                0                0
[334480.892259] nvme_tcp: copy   21                0                0                0                0                0
[334480.904244] nvme_tcp: copy   22                0                0                0                0                0
[334480.916230] nvme_tcp: copy   23                0                0                0                0                0
[334480.928216] nvme_tcp: copy   24                0                0                0                0                0
[334480.940201] nvme_tcp: copy   25                0                0                0                0                0
[334480.952185] nvme_tcp: copy   26                0                0                0                0                0
[334480.964170] nvme_tcp: copy   27                0                0                0                0                0
[334480.976155] nvme_tcp: crc    0                0       6552318616                0                0                0
[334480.988043] nvme_tcp: crc    1                0                0                0                0                0
[334480.999929] nvme_tcp: crc    2                0                0                0                0                0
[334481.011809] nvme_tcp: crc    3                0                0                0                0                0
[334481.023696] nvme_tcp: crc    4                0                0                0                0                0
[334481.035576] nvme_tcp: crc    5                0                0                0                0                0
[334481.047462] nvme_tcp: crc    6                0                0                0                0                0
[334481.059341] nvme_tcp: crc    7                0                0                0                0                0
[334481.071228] nvme_tcp: crc    8                0                0                0                0                0
[334481.083107] nvme_tcp: crc    9                0                0                0                0                0
[334481.094994] nvme_tcp: crc   10                0                0                0                0                0
[334481.106881] nvme_tcp: crc   11                0                0                0                0                0
[334481.118768] nvme_tcp: crc   12                0                0                0                0                0
[334481.130647] nvme_tcp: crc   13                0                0                0                0                0
[334481.142533] nvme_tcp: crc   14                0                0                0                0                0
[334481.154420] nvme_tcp: crc   15                0                0                0                0                0
[334481.166299] nvme_tcp: crc   16                0                0                0                0                0
[334481.178187] nvme_tcp: crc   17                0                0                0                0                0
[334481.190074] nvme_tcp: crc   18                0                0                0                0                0
[334481.201950] nvme_tcp: crc   19                0                0                0                0                0
[334481.213838] nvme_tcp: crc   20                0                0                0                0                0
[334481.225724] nvme_tcp: crc   21                0                0                0                0                0
[334481.237602] nvme_tcp: crc   22                0                0                0                0                0
[334481.249523] nvme_tcp: crc   23                0                0                0                0                0
[334481.261403] nvme_tcp: crc   24                0                0                0                0                0
[334481.273291] nvme_tcp: crc   25                0                0                0                0                0
[334481.285178] nvme_tcp: crc   26                0                0                0                0                0
[334481.297064] nvme_tcp: crc   27                0                0                0                0                0
[334481.308944] nvme_tcp: tx_crc    0                0                0                0                0                0
[334481.321122] nvme_tcp: tx_crc    1                0                0                0                0                0
[334481.333300] nvme_tcp: tx_crc    2                0                0                0                0                0
[334481.345478] nvme_tcp: tx_crc    3                0                0                0                0                0
[334481.357648] nvme_tcp: tx_crc    4                0                0                0                0                0
[334481.369826] nvme_tcp: tx_crc    5                0                0                0                0                0
[334481.382005] nvme_tcp: tx_crc    6                0                0                0                0                0
[334481.394182] nvme_tcp: tx_crc    7                0                0                0                0                0
[334481.406361] nvme_tcp: tx_crc    8                0                0                0                0                0
[334481.418539] nvme_tcp: tx_crc    9                0                0                0                0                0
[334481.430717] nvme_tcp: tx_crc   10                0                0                0                0                0
[334481.442896] nvme_tcp: tx_crc   11                0                0                0                0                0
[334481.455076] nvme_tcp: tx_crc   12                0                0                0                0                0
[334481.467255] nvme_tcp: tx_crc   13                0                0                0                0                0
[334481.479433] nvme_tcp: tx_crc   14                0                0                0                0                0
[334481.491611] nvme_tcp: tx_crc   15                0                0                0                0                0
[334481.503788] nvme_tcp: tx_crc   16                0                0                0                0                0
[334481.526030] nvme_tcp: tx_crc   17                0                0                0                0                0
[334481.538209] nvme_tcp: tx_crc   18                0                0                0                0                0
[334481.550387] nvme_tcp: tx_crc   19                0                0                0                0                0
[334481.562566] nvme_tcp: tx_crc   20                0                0                0                0                0
[334481.574743] nvme_tcp: tx_crc   21                0                0                0                0                0
[334481.586922] nvme_tcp: tx_crc   22                0                0                0                0                0
[334481.599100] nvme_tcp: tx_crc   23                0                0                0                0                0
[334481.611278] nvme_tcp: tx_crc   24                0                0                0                0                0
[334481.623448] nvme_tcp: tx_crc   25                0                0                0                0                0
[334481.635625] nvme_tcp: tx_crc   26                0                0                0                0                0
[334481.647804] nvme_tcp: tx_crc   27                0                0                0                0                0
[334481.659982] nvme_tcp: tracing_off done
[334516.522121] tee (3297): drop_caches: 3
[334516.723411] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334571.572284] tee (4809): drop_caches: 3
[334571.792070] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334480.652537] nvme_tcp: copy    1                0                0                0                0                0
[334480.664523] nvme_tcp: copy    2                0                0                0                0                0
[334480.676509] nvme_tcp: copy    3                0                0                0                0                0
[334480.688499] nvme_tcp: copy    4                0                0                0                0                0
[334480.700486] nvme_tcp: copy    5                0                0                0                0                0
[334480.712470] nvme_tcp: copy    6                0                0                0                0                0
[334480.724455] nvme_tcp: copy    7                0                0                0                0                0
[334480.736440] nvme_tcp: copy    8                0                0                0                0                0
[334480.748426] nvme_tcp: copy    9                0                0                0                0                0
[334480.760411] nvme_tcp: copy   10                0                0                0                0                0
[334480.772396] nvme_tcp: copy   11                0                0                0                0                0
[334480.784382] nvme_tcp: copy   12                0                0                0                0                0
[334480.796367] nvme_tcp: copy   13                0                0                0                0                0
[334480.808354] nvme_tcp: copy   14                0                0                0                0                0
[334480.820340] nvme_tcp: copy   15                0                0                0                0                0
[334480.832325] nvme_tcp: copy   16                0                0                0                0                0
[334480.844317] nvme_tcp: copy   17                0                0                0                0                0
[334480.856302] nvme_tcp: copy   18                0                0                0                0                0
[334480.868288] nvme_tcp: copy   19                0                0                0                0                0
[334480.880274] nvme_tcp: copy   20                0                0                0                0                0
[334480.892259] nvme_tcp: copy   21                0                0                0                0                0
[334480.904244] nvme_tcp: copy   22                0                0                0                0                0
[334480.916230] nvme_tcp: copy   23                0                0                0                0                0
[334480.928216] nvme_tcp: copy   24                0                0                0                0                0
[334480.940201] nvme_tcp: copy   25                0                0                0                0                0
[334480.952185] nvme_tcp: copy   26                0                0                0                0                0
[334480.964170] nvme_tcp: copy   27                0                0                0                0                0
[334480.976155] nvme_tcp: crc    0                0       6552318616                0                0                0
[334480.988043] nvme_tcp: crc    1                0                0                0                0                0
[334480.999929] nvme_tcp: crc    2                0                0                0                0                0
[334481.011809] nvme_tcp: crc    3                0                0                0                0                0
[334481.023696] nvme_tcp: crc    4                0                0                0                0                0
[334481.035576] nvme_tcp: crc    5                0                0                0                0                0
[334481.047462] nvme_tcp: crc    6                0                0                0                0                0
[334481.059341] nvme_tcp: crc    7                0                0                0                0                0
[334481.071228] nvme_tcp: crc    8                0                0                0                0                0
[334481.083107] nvme_tcp: crc    9                0                0                0                0                0
[334481.094994] nvme_tcp: crc   10                0                0                0                0                0
[334481.106881] nvme_tcp: crc   11                0                0                0                0                0
[334481.118768] nvme_tcp: crc   12                0                0                0                0                0
[334481.130647] nvme_tcp: crc   13                0                0                0                0                0
[334481.142533] nvme_tcp: crc   14                0                0                0                0                0
[334481.154420] nvme_tcp: crc   15                0                0                0                0                0
[334481.166299] nvme_tcp: crc   16                0                0                0                0                0
[334481.178187] nvme_tcp: crc   17                0                0                0                0                0
[334481.190074] nvme_tcp: crc   18                0                0                0                0                0
[334481.201950] nvme_tcp: crc   19                0                0                0                0                0
[334481.213838] nvme_tcp: crc   20                0                0                0                0                0
[334481.225724] nvme_tcp: crc   21                0                0                0                0                0
[334481.237602] nvme_tcp: crc   22                0                0                0                0                0
[334481.249523] nvme_tcp: crc   23                0                0                0                0                0
[334481.261403] nvme_tcp: crc   24                0                0                0                0                0
[334481.273291] nvme_tcp: crc   25                0                0                0                0                0
[334481.285178] nvme_tcp: crc   26                0                0                0                0                0
[334481.297064] nvme_tcp: crc   27                0                0                0                0                0
[334481.308944] nvme_tcp: tx_crc    0                0                0                0                0                0
[334481.321122] nvme_tcp: tx_crc    1                0                0                0                0                0
[334481.333300] nvme_tcp: tx_crc    2                0                0                0                0                0
[334481.345478] nvme_tcp: tx_crc    3                0                0                0                0                0
[334481.357648] nvme_tcp: tx_crc    4                0                0                0                0                0
[334481.369826] nvme_tcp: tx_crc    5                0                0                0                0                0
[334481.382005] nvme_tcp: tx_crc    6                0                0                0                0                0
[334481.394182] nvme_tcp: tx_crc    7                0                0                0                0                0
[334481.406361] nvme_tcp: tx_crc    8                0                0                0                0                0
[334481.418539] nvme_tcp: tx_crc    9                0                0                0                0                0
[334481.430717] nvme_tcp: tx_crc   10                0                0                0                0                0
[334481.442896] nvme_tcp: tx_crc   11                0                0                0                0                0
[334481.455076] nvme_tcp: tx_crc   12                0                0                0                0                0
[334481.467255] nvme_tcp: tx_crc   13                0                0                0                0                0
[334481.479433] nvme_tcp: tx_crc   14                0                0                0                0                0
[334481.491611] nvme_tcp: tx_crc   15                0                0                0                0                0
[334481.503788] nvme_tcp: tx_crc   16                0                0                0                0                0
[334481.526030] nvme_tcp: tx_crc   17                0                0                0                0                0
[334481.538209] nvme_tcp: tx_crc   18                0                0                0                0                0
[334481.550387] nvme_tcp: tx_crc   19                0                0                0                0                0
[334481.562566] nvme_tcp: tx_crc   20                0                0                0                0                0
[334481.574743] nvme_tcp: tx_crc   21                0                0                0                0                0
[334481.586922] nvme_tcp: tx_crc   22                0                0                0                0                0
[334481.599100] nvme_tcp: tx_crc   23                0                0                0                0                0
[334481.611278] nvme_tcp: tx_crc   24                0                0                0                0                0
[334481.623448] nvme_tcp: tx_crc   25                0                0                0                0                0
[334481.635625] nvme_tcp: tx_crc   26                0                0                0                0                0
[334481.647804] nvme_tcp: tx_crc   27                0                0                0                0                0
[334481.659982] nvme_tcp: tracing_off done
[334516.522121] tee (3297): drop_caches: 3
[334516.723411] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334571.572284] tee (4809): drop_caches: 3
[334571.792070] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334626.695317] tee (5773): drop_caches: 3
[334626.883061] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334480.676509] nvme_tcp: copy    3                0                0                0                0                0
[334480.688499] nvme_tcp: copy    4                0                0                0                0                0
[334480.700486] nvme_tcp: copy    5                0                0                0                0                0
[334480.712470] nvme_tcp: copy    6                0                0                0                0                0
[334480.724455] nvme_tcp: copy    7                0                0                0                0                0
[334480.736440] nvme_tcp: copy    8                0                0                0                0                0
[334480.748426] nvme_tcp: copy    9                0                0                0                0                0
[334480.760411] nvme_tcp: copy   10                0                0                0                0                0
[334480.772396] nvme_tcp: copy   11                0                0                0                0                0
[334480.784382] nvme_tcp: copy   12                0                0                0                0                0
[334480.796367] nvme_tcp: copy   13                0                0                0                0                0
[334480.808354] nvme_tcp: copy   14                0                0                0                0                0
[334480.820340] nvme_tcp: copy   15                0                0                0                0                0
[334480.832325] nvme_tcp: copy   16                0                0                0                0                0
[334480.844317] nvme_tcp: copy   17                0                0                0                0                0
[334480.856302] nvme_tcp: copy   18                0                0                0                0                0
[334480.868288] nvme_tcp: copy   19                0                0                0                0                0
[334480.880274] nvme_tcp: copy   20                0                0                0                0                0
[334480.892259] nvme_tcp: copy   21                0                0                0                0                0
[334480.904244] nvme_tcp: copy   22                0                0                0                0                0
[334480.916230] nvme_tcp: copy   23                0                0                0                0                0
[334480.928216] nvme_tcp: copy   24                0                0                0                0                0
[334480.940201] nvme_tcp: copy   25                0                0                0                0                0
[334480.952185] nvme_tcp: copy   26                0                0                0                0                0
[334480.964170] nvme_tcp: copy   27                0                0                0                0                0
[334480.976155] nvme_tcp: crc    0                0       6552318616                0                0                0
[334480.988043] nvme_tcp: crc    1                0                0                0                0                0
[334480.999929] nvme_tcp: crc    2                0                0                0                0                0
[334481.011809] nvme_tcp: crc    3                0                0                0                0                0
[334481.023696] nvme_tcp: crc    4                0                0                0                0                0
[334481.035576] nvme_tcp: crc    5                0                0                0                0                0
[334481.047462] nvme_tcp: crc    6                0                0                0                0                0
[334481.059341] nvme_tcp: crc    7                0                0                0                0                0
[334481.071228] nvme_tcp: crc    8                0                0                0                0                0
[334481.083107] nvme_tcp: crc    9                0                0                0                0                0
[334481.094994] nvme_tcp: crc   10                0                0                0                0                0
[334481.106881] nvme_tcp: crc   11                0                0                0                0                0
[334481.118768] nvme_tcp: crc   12                0                0                0                0                0
[334481.130647] nvme_tcp: crc   13                0                0                0                0                0
[334481.142533] nvme_tcp: crc   14                0                0                0                0                0
[334481.154420] nvme_tcp: crc   15                0                0                0                0                0
[334481.166299] nvme_tcp: crc   16                0                0                0                0                0
[334481.178187] nvme_tcp: crc   17                0                0                0                0                0
[334481.190074] nvme_tcp: crc   18                0                0                0                0                0
[334481.201950] nvme_tcp: crc   19                0                0                0                0                0
[334481.213838] nvme_tcp: crc   20                0                0                0                0                0
[334481.225724] nvme_tcp: crc   21                0                0                0                0                0
[334481.237602] nvme_tcp: crc   22                0                0                0                0                0
[334481.249523] nvme_tcp: crc   23                0                0                0                0                0
[334481.261403] nvme_tcp: crc   24                0                0                0                0                0
[334481.273291] nvme_tcp: crc   25                0                0                0                0                0
[334481.285178] nvme_tcp: crc   26                0                0                0                0                0
[334481.297064] nvme_tcp: crc   27                0                0                0                0                0
[334481.308944] nvme_tcp: tx_crc    0                0                0                0                0                0
[334481.321122] nvme_tcp: tx_crc    1                0                0                0                0                0
[334481.333300] nvme_tcp: tx_crc    2                0                0                0                0                0
[334481.345478] nvme_tcp: tx_crc    3                0                0                0                0                0
[334481.357648] nvme_tcp: tx_crc    4                0                0                0                0                0
[334481.369826] nvme_tcp: tx_crc    5                0                0                0                0                0
[334481.382005] nvme_tcp: tx_crc    6                0                0                0                0                0
[334481.394182] nvme_tcp: tx_crc    7                0                0                0                0                0
[334481.406361] nvme_tcp: tx_crc    8                0                0                0                0                0
[334481.418539] nvme_tcp: tx_crc    9                0                0                0                0                0
[334481.430717] nvme_tcp: tx_crc   10                0                0                0                0                0
[334481.442896] nvme_tcp: tx_crc   11                0                0                0                0                0
[334481.455076] nvme_tcp: tx_crc   12                0                0                0                0                0
[334481.467255] nvme_tcp: tx_crc   13                0                0                0                0                0
[334481.479433] nvme_tcp: tx_crc   14                0                0                0                0                0
[334481.491611] nvme_tcp: tx_crc   15                0                0                0                0                0
[334481.503788] nvme_tcp: tx_crc   16                0                0                0                0                0
[334481.526030] nvme_tcp: tx_crc   17                0                0                0                0                0
[334481.538209] nvme_tcp: tx_crc   18                0                0                0                0                0
[334481.550387] nvme_tcp: tx_crc   19                0                0                0                0                0
[334481.562566] nvme_tcp: tx_crc   20                0                0                0                0                0
[334481.574743] nvme_tcp: tx_crc   21                0                0                0                0                0
[334481.586922] nvme_tcp: tx_crc   22                0                0                0                0                0
[334481.599100] nvme_tcp: tx_crc   23                0                0                0                0                0
[334481.611278] nvme_tcp: tx_crc   24                0                0                0                0                0
[334481.623448] nvme_tcp: tx_crc   25                0                0                0                0                0
[334481.635625] nvme_tcp: tx_crc   26                0                0                0                0                0
[334481.647804] nvme_tcp: tx_crc   27                0                0                0                0                0
[334481.659982] nvme_tcp: tracing_off done
[334516.522121] tee (3297): drop_caches: 3
[334516.723411] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334571.572284] tee (4809): drop_caches: 3
[334571.792070] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334626.695317] tee (5773): drop_caches: 3
[334626.883061] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334681.761287] tee (6762): drop_caches: 3
[334681.965799] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334480.700486] nvme_tcp: copy    5                0                0                0                0                0
[334480.712470] nvme_tcp: copy    6                0                0                0                0                0
[334480.724455] nvme_tcp: copy    7                0                0                0                0                0
[334480.736440] nvme_tcp: copy    8                0                0                0                0                0
[334480.748426] nvme_tcp: copy    9                0                0                0                0                0
[334480.760411] nvme_tcp: copy   10                0                0                0                0                0
[334480.772396] nvme_tcp: copy   11                0                0                0                0                0
[334480.784382] nvme_tcp: copy   12                0                0                0                0                0
[334480.796367] nvme_tcp: copy   13                0                0                0                0                0
[334480.808354] nvme_tcp: copy   14                0                0                0                0                0
[334480.820340] nvme_tcp: copy   15                0                0                0                0                0
[334480.832325] nvme_tcp: copy   16                0                0                0                0                0
[334480.844317] nvme_tcp: copy   17                0                0                0                0                0
[334480.856302] nvme_tcp: copy   18                0                0                0                0                0
[334480.868288] nvme_tcp: copy   19                0                0                0                0                0
