# started on Sat Jun 13 20:57:07 2020

50864914613,ns,duration_time,50864914613,100.00,1648.007,M/sec
30864.50,msec,task-clock,30864499362,100.00,0.607,CPUs utilized
61728912773,,cycles,30864495362,100.00,2.000,GHz
75144357493,,instructions,30864492940,100.00,1.22,insn per cycle
516604,,cache-misses,30864491616,100.00,,
# started on Sat Jun 13 20:58:22 2020

50983158006,ns,duration_time,50983158006,100.00,1645.517,M/sec
30983.05,msec,task-clock,30983054683,100.00,0.608,CPUs utilized
61965986968,,cycles,30983050819,100.00,2.000,GHz
74671936347,,instructions,30983048139,100.00,1.21,insn per cycle
713927,,cache-misses,30983046665,100.00,,
# started on Sat Jun 13 20:59:37 2020

50972021702,ns,duration_time,50972021702,100.00,1645.805,M/sec
30970.87,msec,task-clock,30970867109,100.00,0.608,CPUs utilized
61941646719,,cycles,30970863173,100.00,2.000,GHz
76262501423,,instructions,30970859769,100.00,1.23,insn per cycle
511578,,cache-misses,30970858515,100.00,,
# started on Sat Jun 13 21:00:53 2020

50974930167,ns,duration_time,50974930167,100.00,1645.689,M/sec
30974.83,msec,task-clock,30974829570,100.00,0.608,CPUs utilized
61949570596,,cycles,30974824992,100.00,2.000,GHz
75790065628,,instructions,30974821686,100.00,1.22,insn per cycle
363046,,cache-misses,30974820256,100.00,,
# started on Sat Jun 13 21:02:08 2020

50951109226,ns,duration_time,50951109226,100.00,1646.185,M/sec
30951.02,msec,task-clock,30951021682,100.00,0.607,CPUs utilized
61901954999,,cycles,30951017868,100.00,2.000,GHz
75804043000,,instructions,30951015006,100.00,1.22,insn per cycle
518936,,cache-misses,30951014084,100.00,,
