[334737.206638] Running randread depth 64 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334792.121754] tee (9712): drop_caches: 3
[334792.439201] Running randread depth 128 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[334811.395902] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[334831.427830] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[334831.440721] nvme_tcp: copy    0                0      16493434136                0                0                0
[334831.452712] nvme_tcp: copy    1                0                0                0                0                0
[334831.464687] nvme_tcp: copy    2                0                0                0                0                0
[334831.476677] nvme_tcp: copy    3                0                0                0                0                0
[334831.488663] nvme_tcp: copy    4                0                0                0                0                0
[334831.500650] nvme_tcp: copy    5                0                0                0                0                0
[334831.512640] nvme_tcp: copy    6                0                0                0                0                0
[334831.524626] nvme_tcp: copy    7                0                0                0                0                0
[334831.536612] nvme_tcp: copy    8                0                0                0                0                0
[334831.548599] nvme_tcp: copy    9                0                0                0                0                0
[334831.560585] nvme_tcp: copy   10                0                0                0                0                0
[334831.572571] nvme_tcp: copy   11                0                0                0                0                0
[334831.584556] nvme_tcp: copy   12                0                0                0                0                0
[334831.596542] nvme_tcp: copy   13                0                0                0                0                0
[334831.608529] nvme_tcp: copy   14                0                0                0                0                0
[334831.620514] nvme_tcp: copy   15                0                0                0                0                0
[334831.632499] nvme_tcp: copy   16                0                0                0                0                0
[334831.644490] nvme_tcp: copy   17                0                0                0                0                0
[334831.656476] nvme_tcp: copy   18                0                0                0                0                0
[334831.668463] nvme_tcp: copy   19                0                0                0                0                0
[334831.680448] nvme_tcp: copy   20                0                0                0                0                0
[334831.692435] nvme_tcp: copy   21                0                0                0                0                0
[334831.704422] nvme_tcp: copy   22                0                0                0                0                0
[334831.716407] nvme_tcp: copy   23                0                0                0                0                0
[334831.728392] nvme_tcp: copy   24                0                0                0                0                0
[334831.740377] nvme_tcp: copy   25                0                0                0                0                0
[334831.752361] nvme_tcp: copy   26                0                0                0                0                0
[334831.764347] nvme_tcp: copy   27                0                0                0                0                0
[334831.776334] nvme_tcp: crc    0                0       6572480072                0                0                0
[334831.788220] nvme_tcp: crc    1                0                0                0                0                0
[334831.800099] nvme_tcp: crc    2                0                0                0                0                0
[334831.811986] nvme_tcp: crc    3                0                0                0                0                0
[334831.823866] nvme_tcp: crc    4                0                0                0                0                0
[334831.835754] nvme_tcp: crc    5                0                0                0                0                0
[334831.847641] nvme_tcp: crc    6                0                0                0                0                0
[334831.859528] nvme_tcp: crc    7                0                0                0                0                0
[334831.871415] nvme_tcp: crc    8                0                0                0                0                0
[334831.883292] nvme_tcp: crc    9                0                0                0                0                0
[334831.895179] nvme_tcp: crc   10                0                0                0                0                0
[334831.907066] nvme_tcp: crc   11                0                0                0                0                0
[334831.918953] nvme_tcp: crc   12                0                0                0                0                0
[334831.930832] nvme_tcp: crc   13                0                0                0                0                0
[334831.942719] nvme_tcp: crc   14                0                0                0                0                0
[334831.954596] nvme_tcp: crc   15                0                0                0                0                0
[334831.966476] nvme_tcp: crc   16                0                0                0                0                0
[334831.978363] nvme_tcp: crc   17                0                0                0                0                0
[334831.990240] nvme_tcp: crc   18                0                0                0                0                0
[334832.002127] nvme_tcp: crc   19                0                0                0                0                0
[334832.014016] nvme_tcp: crc   20                0                0                0                0                0
[334832.025904] nvme_tcp: crc   21                0                0                0                0                0
[334832.037790] nvme_tcp: crc   22                0                0                0                0                0
[334832.049700] nvme_tcp: crc   23                0                0                0                0                0
[334832.061588] nvme_tcp: crc   24                0                0                0                0                0
[334832.073475] nvme_tcp: crc   25                0                0                0                0                0
[334832.085352] nvme_tcp: crc   26                0                0                0                0                0
[334832.097240] nvme_tcp: crc   27                0                0                0                0                0
[334832.109127] nvme_tcp: tx_crc    0                0                0                0                0                0
[334832.121297] nvme_tcp: tx_crc    1                0                0                0                0                0
[334832.133476] nvme_tcp: tx_crc    2                0                0                0                0                0
[334832.145654] nvme_tcp: tx_crc    3                0                0                0                0                0
[334832.157833] nvme_tcp: tx_crc    4                0                0                0                0                0
[334832.170010] nvme_tcp: tx_crc    5                0                0                0                0                0
[334832.182188] nvme_tcp: tx_crc    6                0                0                0                0                0
[334832.194359] nvme_tcp: tx_crc    7                0                0                0                0                0
[334832.206540] nvme_tcp: tx_crc    8                0                0                0                0                0
[334832.218718] nvme_tcp: tx_crc    9                0                0                0                0                0
[334832.230896] nvme_tcp: tx_crc   10                0                0                0                0                0
[334832.243074] nvme_tcp: tx_crc   11                0                0                0                0                0
[334832.265333] nvme_tcp: tx_crc   12                0                0                0                0                0
[334832.277511] nvme_tcp: tx_crc   13                0                0                0                0                0
[334832.289682] nvme_tcp: tx_crc   14                0                0                0                0                0
[334832.301862] nvme_tcp: tx_crc   15                0                0                0                0                0
