# started on Mon Jun 22 01:23:38 2020

40051.43,msec,task-clock,40051432704,100.00,0.800,CPUs utilized
80102761039,,cycles,40051428838,100.00,2.000,GHz
128215119495,,instructions,40051425692,100.00,1.60,insn per cycle
442019,,cache-misses,40051424308,100.00,,
# started on Mon Jun 22 01:24:33 2020

40051.50,msec,task-clock,40051502308,100.00,0.800,CPUs utilized
80102904031,,cycles,40051499072,100.00,2.000,GHz
127498223574,,instructions,40051498226,100.00,1.59,insn per cycle
426730,,cache-misses,40051497316,100.00,,
# started on Mon Jun 22 01:25:28 2020

40052.69,msec,task-clock,40052694305,100.00,0.800,CPUs utilized
80105284690,,cycles,40052690569,100.00,2.000,GHz
126737918218,,instructions,40052687679,100.00,1.58,insn per cycle
471916,,cache-misses,40052686371,100.00,,
# started on Mon Jun 22 01:26:23 2020

40051.47,msec,task-clock,40051465160,100.00,0.800,CPUs utilized
80102828801,,cycles,40051461744,100.00,2.000,GHz
128361112968,,instructions,40051459544,100.00,1.60,insn per cycle
449056,,cache-misses,40051458128,100.00,,
# started on Mon Jun 22 01:27:18 2020

40051.34,msec,task-clock,40051340398,100.00,0.800,CPUs utilized
80102581521,,cycles,40051337930,100.00,2.000,GHz
127725741850,,instructions,40051334188,100.00,1.59,insn per cycle
437905,,cache-misses,40051332990,100.00,,
# started on Mon Jun 22 01:28:13 2020

40053.50,msec,task-clock,40053497192,100.00,0.800,CPUs utilized
80106889922,,cycles,40053493380,100.00,2.000,GHz
126874094194,,instructions,40053490610,100.00,1.58,insn per cycle
476292,,cache-misses,40053482298,100.00,,
# started on Mon Jun 22 01:29:08 2020

40050.83,msec,task-clock,40050832039,100.00,0.800,CPUs utilized
80101553591,,cycles,40050824009,100.00,2.000,GHz
128320332974,,instructions,40050821925,100.00,1.60,insn per cycle
425592,,cache-misses,40050820531,100.00,,
# started on Mon Jun 22 01:30:03 2020

40045.35,msec,task-clock,40045351890,100.00,0.800,CPUs utilized
80090602986,,cycles,40045348540,100.00,2.000,GHz
125174885775,,instructions,40045346662,100.00,1.56,insn per cycle
426277,,cache-misses,40045345158,100.00,,
# started on Mon Jun 22 01:30:58 2020

40052.27,msec,task-clock,40052266484,100.00,0.800,CPUs utilized
80104431996,,cycles,40052263014,100.00,2.000,GHz
128427257920,,instructions,40052261098,100.00,1.60,insn per cycle
447738,,cache-misses,40052259676,100.00,,
# started on Mon Jun 22 01:31:53 2020

40050.64,msec,task-clock,40050638597,100.00,0.800,CPUs utilized
80101175243,,cycles,40050634811,100.00,2.000,GHz
128113458637,,instructions,40050632705,100.00,1.60,insn per cycle
436844,,cache-misses,40050631309,100.00,,
