[1078229.997955] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1078230.905849] tee (1098): drop_caches: 3
[1078231.116021] Running randread depth 32 jobs 1 size 16K zc 0 remote zc 0 zcrc 0
[1078290.406399] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 28 
[1078310.442737] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1078310.455603] nvme_tcp: copy    0                0       2805119464                0                0                0
[1078310.467678] nvme_tcp: copy    1                0                0                0                0                0
[1078310.479758] nvme_tcp: copy    2                0                0                0                0                0
[1078310.491841] nvme_tcp: copy    3                0                0                0                0                0
[1078310.503923] nvme_tcp: copy    4                0                0                0                0                0
[1078310.516005] nvme_tcp: copy    5                0                0                0                0                0
[1078310.528088] nvme_tcp: copy    6                0                0                0                0                0
[1078310.540169] nvme_tcp: copy    7                0                0                0                0                0
[1078310.552258] nvme_tcp: copy    8                0                0                0                0                0
[1078310.564345] nvme_tcp: copy    9                0                0                0                0                0
[1078310.576429] nvme_tcp: copy   10                0                0                0                0                0
[1078310.588514] nvme_tcp: copy   11                0                0                0                0                0
[1078310.600599] nvme_tcp: copy   12                0                0                0                0                0
[1078310.612682] nvme_tcp: copy   13                0                0                0                0                0
[1078310.624768] nvme_tcp: copy   14                0                0                0                0                0
[1078310.636853] nvme_tcp: copy   15                0                0                0                0                0
[1078310.648937] nvme_tcp: copy   16                0                0                0                0                0
[1078310.661024] nvme_tcp: copy   17                0                0                0                0                0
[1078310.673109] nvme_tcp: copy   18                0                0                0                0                0
[1078310.685194] nvme_tcp: copy   19                0                0                0                0                0
[1078310.697276] nvme_tcp: copy   20                0                0                0                0                0
[1078310.709360] nvme_tcp: copy   21                0                0                0                0                0
[1078310.721444] nvme_tcp: copy   22                0                0                0                0                0
[1078310.733527] nvme_tcp: copy   23                0                0                0                0                0
[1078310.745612] nvme_tcp: copy   24                0                0                0                0                0
[1078310.757697] nvme_tcp: copy   25                0                0                0                0                0
[1078310.769781] nvme_tcp: copy   26                0                0                0                0                0
[1078310.781866] nvme_tcp: copy   27                0                0                0                0                0
[1078310.793951] nvme_tcp: crc    0                0       3720413100                0                0                0
[1078310.805938] nvme_tcp: crc    1                0                0                0                0                0
[1078310.817923] nvme_tcp: crc    2                0                0                0                0                0
[1078310.829910] nvme_tcp: crc    3                0                0                0                0                0
[1078310.841896] nvme_tcp: crc    4                0                0                0                0                0
[1078310.853884] nvme_tcp: crc    5                0                0                0                0                0
[1078310.865870] nvme_tcp: crc    6                0                0                0                0                0
[1078310.877856] nvme_tcp: crc    7                0                0                0                0                0
[1078310.889842] nvme_tcp: crc    8                0                0                0                0                0
[1078310.901829] nvme_tcp: crc    9                0                0                0                0                0
[1078310.913815] nvme_tcp: crc   10                0                0                0                0                0
[1078310.925802] nvme_tcp: crc   11                0                0                0                0                0
[1078310.937787] nvme_tcp: crc   12                0                0                0                0                0
[1078310.949774] nvme_tcp: crc   13                0                0                0                0                0
[1078310.961761] nvme_tcp: crc   14                0                0                0                0                0
[1078310.973748] nvme_tcp: crc   15                0                0                0                0                0
[1078310.985735] nvme_tcp: crc   16                0                0                0                0                0
