[1071875.709538] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1071876.542635] tee (17544): drop_caches: 3
[1071876.794046] Running randread depth 4 jobs 1 size 16K zc 0 remote zc 0 zcrc 0
[1071936.098910] cpu_profile: calibration  average is 30 clock cycles, min is 30, max is 30 
[1071956.147117] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1071956.159993] nvme_tcp: copy    0                0       1739601973                0                0                0
[1071956.172080] nvme_tcp: copy    1                0                0                0                0                0
[1071956.184162] nvme_tcp: copy    2                0                0                0                0                0
[1071956.196245] nvme_tcp: copy    3                0                0                0                0                0
[1071956.208326] nvme_tcp: copy    4                0                0                0                0                0
[1071956.220408] nvme_tcp: copy    5                0                0                0                0                0
[1071956.232489] nvme_tcp: copy    6                0                0                0                0                0
[1071956.244570] nvme_tcp: copy    7                0                0                0                0                0
[1071956.256656] nvme_tcp: copy    8                0                0                0                0                0
[1071956.268741] nvme_tcp: copy    9                0                0                0                0                0
[1071956.280825] nvme_tcp: copy   10                0                0                0                0                0
[1071956.292913] nvme_tcp: copy   11                0                0                0                0                0
[1071956.304998] nvme_tcp: copy   12                0                0                0                0                0
[1071956.317082] nvme_tcp: copy   13                0                0                0                0                0
[1071956.329166] nvme_tcp: copy   14                0                0                0                0                0
[1071956.341250] nvme_tcp: copy   15                0                0                0                0                0
[1071956.353334] nvme_tcp: copy   16                0                0                0                0                0
[1071956.365422] nvme_tcp: copy   17                0                0                0                0                0
[1071956.377507] nvme_tcp: copy   18                0                0                0                0                0
[1071956.389589] nvme_tcp: copy   19                0                0                0                0                0
[1071956.401673] nvme_tcp: copy   20                0                0                0                0                0
[1071956.413756] nvme_tcp: copy   21                0                0                0                0                0
[1071956.425858] nvme_tcp: copy   22                0                0                0                0                0
[1071956.437941] nvme_tcp: copy   23                0                0                0                0                0
[1071956.450025] nvme_tcp: copy   24                0                0                0                0                0
[1071956.462107] nvme_tcp: copy   25                0                0                0                0                0
[1071956.474192] nvme_tcp: copy   26                0                0                0                0                0
[1071956.486274] nvme_tcp: copy   27                0                0                0                0                0
[1071956.498359] nvme_tcp: crc    0                0       2490645809                0                0                0
[1071956.510344] nvme_tcp: crc    1                0                0                0                0                0
[1071956.532492] nvme_tcp: crc    2                0                0                0                0                0
[1071956.544479] nvme_tcp: crc    3                0                0                0                0                0
[1071956.556466] nvme_tcp: crc    4                0                0                0                0                0
[1071956.568451] nvme_tcp: crc    5                0                0                0                0                0
[1071956.580439] nvme_tcp: crc    6                0                0                0                0                0
[1071956.592426] nvme_tcp: crc    7                0                0                0                0                0
[1071956.604413] nvme_tcp: crc    8                0                0                0                0                0
