[1131170.809758] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1131171.744157] tee (10731): drop_caches: 3
[1131171.998783] Running randread depth 4 jobs 1 size 256K zc 0 remote zc 0 zcrc 0
[1131232.152561] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1131252.449582] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1131252.462631] nvme_tcp: copy    0                0       5428732744                0                0                0
[1131252.474709] nvme_tcp: copy    1                0                0                0                0                0
[1131252.486780] nvme_tcp: copy    2                0                0                0                0                0
[1131252.498861] nvme_tcp: copy    3                0                0                0                0                0
[1131252.510941] nvme_tcp: copy    4                0                0                0                0                0
[1131252.523024] nvme_tcp: copy    5                0                0                0                0                0
[1131252.535105] nvme_tcp: copy    6                0                0                0                0                0
[1131252.547186] nvme_tcp: copy    7                0                0                0                0                0
[1131252.559267] nvme_tcp: copy    8                0                0                0                0                0
[1131252.571346] nvme_tcp: copy    9                0                0                0                0                0
[1131252.583433] nvme_tcp: copy   10                0                0                0                0                0
[1131252.595514] nvme_tcp: copy   11                0                0                0                0                0
[1131252.607595] nvme_tcp: copy   12                0                0                0                0                0
[1131252.619671] nvme_tcp: copy   13                0                0                0                0                0
[1131252.631757] nvme_tcp: copy   14                0                0                0                0                0
[1131252.643842] nvme_tcp: copy   15                0                0                0                0                0
[1131252.655927] nvme_tcp: copy   16                0                0                0                0                0
[1131252.668019] nvme_tcp: copy   17                0                0                0                0                0
[1131252.680104] nvme_tcp: copy   18                0                0                0                0                0
[1131252.692189] nvme_tcp: copy   19                0                0                0                0                0
[1131252.704366] nvme_tcp: copy   20                0                0                0                0                0
[1131252.716451] nvme_tcp: copy   21                0                0                0                0                0
[1131252.728536] nvme_tcp: copy   22                0                0                0                0                0
[1131252.740621] nvme_tcp: copy   23                0                0                0                0                0
[1131252.752707] nvme_tcp: copy   24                0                0                0                0                0
[1131252.764791] nvme_tcp: copy   25                0                0                0                0                0
[1131252.776875] nvme_tcp: copy   26                0                0                0                0                0
[1131252.788959] nvme_tcp: copy   27                0                0                0                0                0
[1131252.801045] nvme_tcp: crc    0                0       6662398982                0                0                0
[1131252.813032] nvme_tcp: crc    1                0                0                0                0                0
[1131252.825020] nvme_tcp: crc    2                0                0                0                0                0
[1131252.837006] nvme_tcp: crc    3                0                0                0                0                0
[1131252.848993] nvme_tcp: crc    4                0                0                0                0                0
[1131252.860979] nvme_tcp: crc    5                0                0                0                0                0
[1131252.872967] nvme_tcp: crc    6                0                0                0                0                0
[1131252.884955] nvme_tcp: crc    7                0                0                0                0                0
[1131252.896943] nvme_tcp: crc    8                0                0                0                0                0
[1131252.908928] nvme_tcp: crc    9                0                0                0                0                0
[1131252.920916] nvme_tcp: crc   10                0                0                0                0                0
[1131252.932902] nvme_tcp: crc   11                0                0                0                0                0
[1131252.944891] nvme_tcp: crc   12                0                0                0                0                0
